"Vessel","CAPTAIN","Trip Dates","Count of Sets","year"
"OCEAN PEARL","ROBERT FRAUMENI","Sep 29  - Nov 16 ",157,2008
"OCEAN PEARL","ROBERT FRAUMENI","Oct  8  - Nov 25 ",155,2009
