"SABLE_SET_TYPE","count","tagagainlive","tagdead","tagrelease","taglengthsample","samplecount"
"INLET STANDARDIZED",4339,20,0,2202,2199,871
"OFFSHORE STANDARDIZED",2653,12,0,12,12,2328
"StRS",15529,59,0,5260,5253,4083
