"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Arrowtooth flounder","ATHERESTHES STOMIAS",2896.84
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",1831.58
"Spiny dogfish","SQUALUS ACANTHIAS",1652.53
"Pectoral rattail","ALBATROSSIA PECTORALIS",1030.86
"Lingcod","OPHIODON ELONGATUS",896.74
