"Locality","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"Portland Inlet",0.3,0.7,547,592,576
"Gil Island",0.28,0.72,567,621,597
"Finlayson Channel",0.28,0.72,625,673,666
"Dean/Burke Channel",0.36,0.64,606,684,658
