"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",716.9
"Pacific sleeper shark","SOMNIOSUS PACIFICUS",695
