"orderfield","Summary_sp","Year","TRIP_ID","Common_Name","Scientific_Name","Total_Count","Total_weight","SABLE_SET_TYPE"
5,"Roundfish Species",2008,67007,"Spiny dogfish","SQUALUS ACANTHIAS",,13,"NO SET TYPE"
5,"Roundfish Species",2008,67007,"Sablefish","ANOPLOPOMA FIMBRIA",,3,"NO SET TYPE"
4,"Rockfish Species",2008,67007,"Quillback rockfish","SEBASTES MALIGER",,2,"NO SET TYPE"
3,"Flatfish Species",2008,67007,"Arrowtooth flounder","ATHERESTHES STOMIAS",,26,"NO SET TYPE"
3,"Flatfish Species",2008,67007,"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",,4,"NO SET TYPE"
