"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Arrowtooth flounder","ATHERESTHES STOMIAS",1051.98
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",476.91
"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",412.84
