"Locality","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"Portland Inlet",0.24,0.76,576,617,610
"Gil Island",0.33,0.67,579,617,603
"Finlayson Channel",0.33,0.67,626,679,653
"Dean/Burke Channel",0.24,0.76,617,698,665
