"locality","depth","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"S1","RD1       ",0.48,0.52,606,661,614
"S1","RD2       ",0.8,0.2,583,658,589
"S1","RD3       ",0.18,0.82,599,676,633
"S2","RD1       ",0.32,0.68,628,696,666
"S2","RD2       ",0.65,0.35,602,667,624
"S2","RD3       ",0.39,0.61,600,693,637
"S3","RD1       ",0.35,0.65,627,684,656
"S3","RD2       ",0.75,0.25,588,655,590
"S3","RD3       ",0.3,0.7,604,694,657
"S4","RD1       ",0.24,0.76,641,710,679
"S4","RD2       ",0.53,0.47,628,716,669
"S4","RD3       ",0.44,0.56,630,736,689
"S5","RD1       ",0.3,0.7,595,643,625
"S5","RD2       ",0.53,0.47,600,668,630
"S5","RD3       ",0.44,0.56,634,721,704
