"locality","depth","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"Dean/Burke Channel",,0.36,0.64,606,684,658
"Finlayson Channel",,0.28,0.72,625,673,666
"Gil Island",,0.28,0.72,567,621,597
"Portland Inlet",,0.3,0.7,547,592,576
