"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Arrowtooth flounder","ATHERESTHES STOMIAS",853.82
"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",449.44
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",201.96
