"Year","Age","Male_Proportion","Female_Proportion","Male_Yr_Total","Female_Yr_Total","m","f","SetType"
1990,2,0.025641,0.017283,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,3,0.071225,0.086419,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,4,0.074074,0.11358,351,405,1,1,"OFFSHORE STANDARDIZED"
1990,5,0.048433,0.081481,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,6,0.034188,0.041975,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,7,0.034188,0.046913,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,8,0.022792,0.064197,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,9,0.022792,0.037037,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,10,0.025641,0.046913,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,11,0.017094,0.05432,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,12,0.011396,0.019753,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,13,0.017094,0.024691,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,14,0.005698,0.017283,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,15,0.002849,0.007407,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,16,0.017094,0.004938,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,17,0.008547,0.002469,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,18,0.002849,0,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,19,0.005698,0.009876,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,20,0.019943,0.009876,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,21,0.005698,0.009876,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,22,0.002849,0.014814,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,23,0.002849,0.017283,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,24,0.017094,0.012345,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,25,0.037037,0.017283,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,26,0.014245,0.007407,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,27,0.014245,0.009876,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,28,0.022792,0.014814,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,29,0.019943,0.019753,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,30,0.037037,0.017283,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,31,0.019943,0.009876,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,32,0.037037,0.019753,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,33,0.02849,0.019753,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,34,0.014245,0.009876,351,405,0,0,"OFFSHORE STANDARDIZED"
1990,35,0.259259,0.11358,351,405,0,0,"OFFSHORE STANDARDIZED"
1991,2,0.006355,0.010327,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,3,0.040254,0.025817,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,4,0.044491,0.034423,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,5,0.044491,0.077452,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,6,0.091101,0.086058,472,581,1,0,"OFFSHORE STANDARDIZED"
1991,7,0.065677,0.104991,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,8,0.067796,0.075731,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,9,0.038135,0.099827,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,10,0.055084,0.068846,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,11,0.072033,0.106712,472,581,0,1,"OFFSHORE STANDARDIZED"
1991,12,0.021186,0.063683,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,13,0.036016,0.065404,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,14,0.023305,0.037865,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,15,0.021186,0.012048,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,16,0.006355,0.005163,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,17,0.004237,0.012048,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,18,0.006355,0.008605,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,19,0.010593,0.006884,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,20,0.008474,0.001721,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,21,0.008474,0.003442,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,22,0.006355,0.001721,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,23,0.006355,0.003442,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,24,0.010593,0.006884,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,25,0.012711,0.003442,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,26,0.006355,0.008605,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,27,0.008474,0.006884,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,28,0.021186,0.003442,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,29,0.01483,0.005163,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,30,0.012711,0.003442,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,31,0.006355,0,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,32,0.004237,0.001721,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,33,0.029661,0.008605,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,34,0.012711,0.006884,472,581,0,0,"OFFSHORE STANDARDIZED"
1991,35,0.175847,0.032702,472,581,0,0,"OFFSHORE STANDARDIZED"
1992,2,0.042407,0.029543,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,3,0.030095,0.046553,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,4,0.032831,0.0188,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,5,0.041039,0.059086,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,6,0.057455,0.078782,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,7,0.067031,0.098478,731,1117,1,1,"OFFSHORE STANDARDIZED"
1992,8,0.056087,0.091316,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,9,0.049247,0.081468,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,10,0.036935,0.062667,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,11,0.035567,0.063563,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,12,0.036935,0.066248,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,13,0.041039,0.043867,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,14,0.030095,0.048343,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,15,0.025991,0.026857,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,16,0.012311,0.025962,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,17,0.012311,0.010743,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,18,0.006839,0.008952,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,19,0.012311,0.006266,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,20,0.008207,0.004476,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,21,0.010943,0.004476,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,22,0.004103,0.00179,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,23,0.012311,0.002685,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,24,0.010943,0.006266,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,25,0.009575,0.004476,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,26,0.009575,0.004476,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,27,0.008207,0.002685,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,28,0.020519,0.007162,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,29,0.010943,0.004476,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,30,0.013679,0.003581,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,31,0.015047,0.003581,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,32,0.012311,0.003581,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,33,0.013679,0.003581,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,34,0.023255,0.007162,731,1117,0,0,"OFFSHORE STANDARDIZED"
1992,35,0.19015,0.068039,731,1117,0,0,"OFFSHORE STANDARDIZED"
