"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Arrowtooth flounder","ATHERESTHES STOMIAS",2082.69
"Lingcod","OPHIODON ELONGATUS",1000.82
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",988.45
"Pectoral rattail","ALBATROSSIA PECTORALIS",910.49
"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",853.74
