"Year","lat","depth","temperature","Sets"
2009,49,1202.3,3.1,28
2009,51,465.8,5.3,52
2009,51,649.7,4.3,81
2009,51,668.3,4.4,74
2009,48,587.9,4.9,19
2009,50,211.8,7,46
2009,51,423,5.5,55
2009,50,1026.5,3.6,37
2009,50,447.1,5.7,43
2009,49,492.5,5.5,34
2009,54,668.8,4.2,133
2009,53,469,5.3,118
2009,51,550,4.8,71
2009,52,772.5,3.9,86
2009,53,194.4,6.4,121
2009,54,419.9,5.5,130
2009,48,471.5,5.3,9
2009,51,923.2,3.4,68
2009,52,574.1,4.5,83
2009,53,708.4,4.2,105
2009,48,983.6,3.6,6
2009,51,1154.5,3,65
2009,53,996.7,3.4,108
2009,52,529.4,4.8,96
2009,48,1152.2,3.1,3
2009,52,1147,3.1,99
2009,52,1032.1,3.3,93
2009,53,442.1,5.4,111
2009,52,365.7,5.6,90
2009,52,281.7,6,84
2009,53,610,4.6,107
2009,52,551.8,4.6,87
2009,48,329.7,6.1,7
2009,48,591.3,4.8,13
2009,54,551.6,4.7,127
2009,51,921.4,3.5,77
2009,51,761.8,4.1,54
2009,54,543.9,4.7,124
2009,48,317.4,6.3,10
2009,48,700.7,4.4,4
2009,53,907.1,3.7,104
2009,52,209.1,6.3,100
2009,51,698.9,4.2,80
2009,53,1199.4,2.9,120
2009,50,198.3,7.1,47
2009,49,769.9,4.2,27
2009,49,680.7,4.6,24
2009,51,803.8,3.7,64
2009,51,356.8,6.3,70
2009,50,198.6,7.1,50
2009,53,1127,3.1,114
2009,51,264.9,6.4,67
2009,50,897.9,3.9,44
2009,50,1092.1,3.4,41
2009,54,1188.6,2.8,134
2009,51,785.1,4,61
2009,48,923.3,3.8,20
2009,53,302.6,5.9,117
